date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:30	929/929	---M--	503	error ('Service%20Unavailable')	text/html		http://www.qub.ac.uk/cite2write/audio/introduction.mp3	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/audio/introduction.98.delayed	(from http://www.qub.ac.uk/cite2write/introduction.html)
00:27:31	26749/26749	---M--	200	added ('OK')	image/png	etag:%22687d-5a9c5b3380e00%22	http://www.qub.ac.uk/cite2write/images/books.png	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/images/books.png	(from http://www.qub.ac.uk/cite2write/introduction.html)
00:27:31	5336/5336	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:32%20GMT	http://www.qub.ac.uk/cite2write/dev/harvard1/index.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/dev/harvard1/index.html	(from http://www.qub.ac.uk/cite2write/harvard.html)
00:27:32	5336/5336	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:33%20GMT	http://www.qub.ac.uk/cite2write/dev/harvard2/index.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/dev/harvard2/index.html	(from http://www.qub.ac.uk/cite2write/harvard2.html)
00:27:33	5337/5337	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:34%20GMT	http://www.qub.ac.uk/cite2write/dev/harvard15/index.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/dev/harvard15/index.html	(from http://www.qub.ac.uk/cite2write/harvard3.html)
00:27:33	5337/5337	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:34%20GMT	http://www.qub.ac.uk/cite2write/dev/harvard16/index.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/dev/harvard16/index.html	(from http://www.qub.ac.uk/cite2write/harvard3b.html)
00:27:34	5337/5337	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:35%20GMT	http://www.qub.ac.uk/cite2write/dev/harvard17/index.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/dev/harvard17/index.html	(from http://www.qub.ac.uk/cite2write/harvard3c.html)
00:27:34	5337/5337	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:35%20GMT	http://www.qub.ac.uk/cite2write/dev/harvard18/index.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/dev/harvard18/index.html	(from http://www.qub.ac.uk/cite2write/harvard3d.html)
00:27:35	5337/5337	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:36%20GMT	http://www.qub.ac.uk/cite2write/dev/harvard19/index.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/dev/harvard19/index.html	(from http://www.qub.ac.uk/cite2write/harvard3e.html)
00:27:36	5337/5337	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:57:37%20GMT	http://www.qub.ac.uk/cite2write/dev/harvard20/index.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/dev/harvard20/index.html	(from http://www.qub.ac.uk/cite2write/harvard3f.html)
